стихотворение,тема,ритм,рифма,текст,кластеры
И в честь мою праздник богатый
Устроил… Спасибо! я рада была
И вкусным пельменям, и бане…
А праздник как мертвая весь проспала
В гостиной его на диване…Не знала я, что впереди меня ждет!
Я утром в Нерчинск прискакала,
Не верю глазам, — Трубецкая идет!
«Догнала тебя я, догнала!»
«Они в Благодатске!» — Я бросилась к ней,
Счастливые слезы роняя…
В двенадцати только верстах мой Сергей,
И Катя со мной Трубецкая!Глава VIКто знал одиночество в дальнем пути,
Чьи спутники — горе да вьюга,
Кому провиденьем дано обрести
В пустыне негаданно друга,
Тот нашу взаимную радость поймет…
«Устала, устала я, Маша!»
-«Не плачь, моя бедная Катя! Спасет
Нас дружба и молодость наша!
Нас жребий один неразрывно связал,
Судьба нас равно обманула,
И тот же поток твое счастье умчал,
В котором мое потонуло.
Пойдем же мы об руку трудным путем,
Как шли зеленеющем лугом,
И обе достойно свой крест понесем,
И будем мы сильны друг другом.
Что мы потеряли? подумай, сестра!
Игрушки тщеславья… Не много!
Теперь перед нами дорога добра,
Дорога избранников бога!
Найдем мы униженных, скорбных мужей,
Но будем мы им утешеньем,
Мы кротостью нашей смягчим палачей,
Страданье осилим терпеньем.
Опорою гибнущим, слабым, больным
Мы будем в тюрьме ненавистной,
И рук не положим, пока не свершим
Обета любви бескорыстной!..
Чиста наша жертва, — мы всё отдаем
Избранникам нашим и богу.
И верю я: мы невредимо пройдем
Всю трудную нашу дорогу…»Природа устала с собой воевать —
День ясный, морозный и тихий.
Снега под Нерчинском явились опять,
В санях покатили мы лихо…
О ссыльных рассказывал русский ямщик
(Он знал по фамилии даже):
«На этих конях я возил их в рудник,
Да только в другом экипаже.
Должно быть, дорога легка им была:
Шутили, смешили друг дружку;
На завтрак ватрушку мне мать испекла,
Так я подарил им ватрушку,
Двугривенный дали — я брать не хотел:
«Возьми, паренек, пригодится…»Болтая, он живо в село прилетел.
«Ну, барыни, где становиться?»
— «Вези нас к начальнику прямо в острог».
— «Эй, други, не дайте в обиду!»Начальник был тучен и, кажется, строг,
Спросил, по какому мы виду?
«В Иркутске читали инструкцию нам
И выслать в Нерчинск обещали…»
— «Застряла, застряла, голубушка, там!»
«Вот копия, нам ее дали…»
— «Что копия? с ней попадешься впросак!»
— «Вот царское вам позволенье!»
Не знал по-французски упрямый чудак,
Не верил нам, — смех и мученье!
«Вы видите подпись царя: Николай?»
До подписи нет ему дела,
Ему из Нерчинска бумагу подай!
Поехать за ней я хотела,
Но он объявил, что отправится сам
И к утру бумагу добудет.
«Да точно ли?..» — «Честное слово! А вам
Полезнее выспаться будет!..»И мы добрались до какой-то избы,
О завтрашнем утре мечтая;
С оконцем из слюды, низка, без трубы,
Была наша хата такая,
Что я головою касалась стены,
А в дверь упиралась ногами;
Но мелочи эти нам были смешны,
Не то уж случалося с нами.
Мы вместе! теперь бы легко я снесла
И самые трудные муки…Проснулась я рано, а Катя спала,
Пошла по деревне от скуки:
Избушки такие ж, как наша, числом
До сотни, в овраге торчали,
А вот и кирпичный с решетками дом!
При нем часовые стояли.
«Не здесь ли преступники?» — «Здесь, да ушли».
— «Куда?» — «На работу, вестимо!»
Какие-то дети меня повели…
Бежали мы все — нестерпимо
Хотелось мне мужа увидеть скорей;
Он близко! Он шел тут недавно!
«Вы видите их?» — я спросила детей.
«Да, видим! Поют они славно!
Вон дверца… Гляди же! Пойдем мы теперь,
Прощай!..» Убежали ребята…И словно под землю ведущую дверь
Увидела я — и солдата.
Сурово смотрел часовой, — наголо
В руке его сабля сверкала.
Не золото, внуки, и здесь помогло,
Хоть золото я предлагала!
Быть может, вам хочется дальше читать,
Да просится слово из груди!
Помедлим немного. Хочу я сказать
Спасибо вам, русские люди!
В дороге, в изгнанье, где я ни была,
Всё трудное каторги время,
Народ! я бодрее с тобою несла
Мое непосильное бремя.
Пусть много скорбей тебе пало на часть,
Ты делишь чужие печали,
И где мои слезы готовы упасть,
Твои уж давно там упали!..
Ты любишь несчастного, русский народ!
Страдания нас породнили…
«Вас в каторге самый закон не спасет!» —
На родине мне говорили;
Но добрых людей я встречала и там,
На крайней ступени паденья,
Умели по-своему выразить нам
Преступники дань уваженья;
Меня с неразлучною Катей моей
Довольной улыбкой встречали:
«Вы — ангелы наши!» За наших мужей
Уроки они исполняли.
Не раз мне украдкой давал из полы
Картофель колодник клейменый:
«Покушай! горячий, сейчас из золы!»
Хорош был картофель печеный,
Но грудь и теперь занывает с тоски,
Когда я о нем вспоминаю…
Примите мой низкий поклон, бедняки!
Спасибо вам всем посылаю!
Спасибо!.. Считали свой труд ни во что
Для нас эти люди простые,
Но горечи в чашу не подлил никто,
Никто — из народа, родные!..Рыданьям моим часовой уступил,
Как бога его я просила!
Светильник (род факела) он засветил,
В какой-то подвал я вступила
И долго спускались всё ниже; потом
Пошла я глухим коридором,
Уступами шел он; темно было в нем
И душно; где плесень узором
Лежала; где тихо струилась вода
И лужами книзу стекала.
Я слышала шорох; земля иногда
Комками со стен упадала;
Я видела страшные ямы в стенах;
Казалось, такие ж дороги
От них начинались. Забыла я страх,
Проворно несли меня ноги!И вдруг я услышала крики: «Куда,
Куда вы? Убиться хотите?
Ходить не позволено дамам туда!
Вернитесь скорей! Погодите!»
Беда моя! видно, дежурный пришел
(Его часовой так боялся)
Кричал он так грозно, так голос был зол,
Шум скорых шагов приближался…
Что делать? Я факел задула. Вперед
Впотьмах наугад побежала…
Господь, коли хочет, везде проведет!
Не знаю, как я не упала,
Как голову я не оставила там!
Судьба берегла меня. Мимо
Ужасных расселин, провалов и ям
Бог вывел меня невредимо:
Я скоро увидела свет впереди,
Там звездочка словно светилась…
И вылетел радостный крик из груди:
«Огонь!» Я крестом осенилась…
Я сбросила шубу… Бегу на огонь,
Как бог уберег во мне душу!
Попавший в трясину испуганный конь
Так рвется, завидевши сушу…И стало, родные, светлей и светлей!
Увидела я возвышенье:
Какая-то площадь… и тени на ней…
Чу… молот! работа, движенье…
Там люди! Увидят ли только они?
Фигуры отчетливей стали…
Всё ближе, сильней замелькали огни.
Должно быть, меня увидали…
И кто-то стоявший на самом краю
Воскликнул: «Не ангел ли божий?
Смотрите, смотрите!» — «Ведь мы не в раю:
Проклятая шахта похожей
На ад!» — говорили другие, смеясь.
И быстро на край выбегали,
И я приближалась поспешно. Дивясь,
Недвижно они ожидали.«Волконская!» — вдруг закричал Трубецкой
(Узнала я голос). Спустили
Мне лестницу; я поднялася стрелой!
Всё люди знакомые были:
Сергей Трубецкой, Артамон Муравьев,
Борисовы, князь Оболенский…
Потоком сердечных, восторженных слов,
Похвал моей дерзости женской
Была я осыпана; слезы текли
По лицам их, полным участья…
Но где же Сергей мой? «За ним уж пошли,
Не умер бы только от счастья!
Кончает урок: по три пуда руды
Мы в день достаем для России,
Как видите, нас не убили труды!»
Веселые были такие,
Шутили, но я под веселостью их
Печальную повесть читала
(Мне новостью были оковы на них
Что их закуют — я не знала)…
Известьем о Кате, о милой жене,
Утешила я Трубецкого;
Все письма, по счастию, были при мне,
С приветом из края родного
Спешила я их передать. Между тем,
Внизу офицер горячился:
«Кто лестницу принял? Куда и зачем
Смотритель работ отлучился?
Сударыня! Вспомните слово мое,
Убьетесь!.. Эй, лестницу, черти!
Живей!..» (Но никто не подставил ее…)
«Убьетесь, убьетесь до смерти!
Извольте спуститься! да что ж вы?..» Но мы
Всё в глубь уходили… Отвсюду
Бежали к нам мрачные дети тюрьмы,
Дивясь небывалому чуду.
Они пролагали мне путь впереди,
Носилки свои предлагали…Орудья подземных работ на пути,
Провалы, бугры мы встречали.
Работа кипела под звуки оков,
Под песни, — работа над бездной!
Стучались в упругую грудь рудников
И заступ и молот железный.
Там с ношею узник шагал по бревну,
Невольно кричала я: «Тише!»
Там новую мину вели в глубину,
Там люди карабкались выше
По шатким подпоркам… Какие труды!
Какая отвага!.. Сверкали
Местами добытые глыбы руды
И щедрую дань обещали…Вдруг кто-то воскликнул: «Идет он! идет!»
Окинув пространство глазами,
Я чуть не упала, рванувшись вперед, —
Канава была перед нами.
«Потише, потише! Ужели затем
Вы тысячи верст пролетели, -
Сказал Трубецкой, — чтоб на горе нам всем
В канаве погибнуть — у цели?»
И за руку крепко меня он держал:
«Что б было, когда б вы упали?»
Сергей торопился, но тихо шагал.
Оковы уныло звучали.
Да, цепи! Палач не забыл никого
(О, мстительный трус и мучитель!), —
Но кроток он был, как избравший его
Орудьем своим искупитель.
Пред ним расступались, молчанье храня,
Рабочие люди и стража…
И вот он увидел, увидел меня!
И руки простер ко мне: «Маша!»
И стал, обессиленный словно, вдали…
Два ссыльных его поддержали.
По бледным щекам его слезы текли,
Простертые руки дрожали…Душе моей милого голоса звук
Мгновенно послал обновленье,
Отраду, надежду, забвение мук,
Отцовской угрозы забвенье!
И с криком «иду!» я бежала бегом,
Рванув неожиданно руку,
По узкой доске над зияющим рвом
Навстречу призывному звуку…
«Иду!..» Посылало мне ласку свою
Улыбкой лицо испитое…
И я побежала… И душу мою
Наполнило чувство святое.
Я только теперь, в руднике роковом,
Услышав ужасные звуки,
Увидев оковы на муже моем,
Вполне поняла его муки,
И силу его… и готовность страдать!
Невольно пред ним я склонила
Колени, — и прежде чем мужа обнять,
Оковы к губам приложила!..И тихого ангела бог ниспослал
В подземные копи, — в мгновенье
И говор, и грохот работ замолчал,
И замерло словно движенье,
Чужие, свои — со слезами в глазах,
Взволнованны, бледны, суровы,
Стояли кругом. На недвижных ногах
Не издали звука оковы,
И в воздухе поднятый молот застыл…
Всё тихо — ни песни, ни речи…
Казалось, что каждый здесь с нами делил
И горечь, и счастие встречи!
Святая, святая была тишина!
Какой-то высокой печали,
Какой-то торжественной думы полна.«Да где же вы все запропали?» —
Вдруг снизу донесся неистовый крик.
Смотритель работ появился.
«Уйдите! — сказал со слезами старик. —
Нарочно я, барыня, скрылся,
Теперь уходите. Пора! Забранят!
Начальники люди крутые…»
И словно из рая спустилась я в ад…
И только… и только, родные!
По-русски меня офицер обругал
Внизу, ожидавший в тревоге,
А сверху мне муж по-французски сказал:
«Увидимся, Маша, — в остроге!..»",1
245,10,4,0,"Да! Теперь решено. Без возврата
Я покинул родные поля.
Уж не будут листвою крылатой
Надо мною звенеть тополя.Низкий дом без меня ссутулится,
Старый пес мой давно издох.
На московских изогнутых улицах
Умереть, знать, судил мне Бог.Я люблю этот город вязевый,
Пусть обрюзг он и пусть одрях.
Золотая дремотная Азия
Опочила на куполах.А когда ночью светит месяц,
Когда светит… черт знает как!
Я иду, головою свесясь,
Переулком в знакомый кабак.Шум и гам в этом логове жутком,
Но всю ночь напролет, до зари,
Я читаю стихи проституткам
И с бандитами жарю спирт.Сердце бьется все чаще и чаще,
И уж я говорю невпопад:
— Я такой же, как вы, пропащий,
Мне теперь не уйти назад.Низкий дом без меня ссутулится,
Старый пес мой давно издох.
На московских изогнутых улицах
Умереть, знать, судил мне Бог.1922 г.",4
246,12,0,0,"Вхожу я в темные храмы,
Совершаю бедный обряд.
Там жду я Прекрасной Дамы
В мерцаньи красных лампад.В тени у высокой колонны
Дрожу от скрипа дверей.
А в лицо мне глядит, озаренный,
Только образ, лишь сон о Ней.О, я привык к этим ризам
Величавой Вечной Жены!
Высоко бегут по карнизам
Улыбки, сказки и сны.О, Святая, как ласковы свечи,
Как отрадны Твои черты!
Мне не слышны ни вздохи, ни речи,
Но я верю: Милая — Ты.1902 г.",0
247,2,0,1,"«Ну-ка, дети!
Кто храбрее всех на свете?»
Так и знал — в ответ все хором нараспев:
«Лев!»— «Лев? ха-ха… легко быть храбрым,
Если лапы шире швабры,
Нет, ни лев, ни слон… храбрее всех малыш —
Мышь!Сам вчера я видел чудо,
Как мышонок влез на блюдо
И у носа спящей кошки
Не спеша поел все крошки.
Что!»1921 г.",2
248,10,4,0,"За гремучую доблесть грядущих веков,
За высокое племя людей
Я лишился и чаши на пире отцов,
И веселья, и чести своей.Мне на плечи кидается век-волкодав,
Но не волк я по крови своей,
Запихай меня лучше, как шапку, в рукав
Жаркой шубы сибирских степей.Чтоб не видеть ни труса, ни хлипкой грязцы,
Ни кровавых костей в колесе,
Чтоб сияли всю ночь голубые песцы
Мне в своей первобытной красе,Уведи меня в ночь, где течет Енисей
И сосна до звезды достает,
Потому что не волк я по крови своей
И меня только равный убьет.1931 г.",4
249,10,4,0,"Низкий дом с голубыми ставнями,
Не забыть мне тебя никогда, —
Слишком были такими недавними
Отзвучавшие в сумрак года.До сегодня еще мне снится
Наше поле, луга и лес,
Принакрытые сереньким ситцем
Этих северных бедных небес.Восхищаться уж я не умею
И пропасть не хотел бы в глуши,
Но, наверно, навеки имею
Нежность грустную русской души.Полюбил я седых журавлей
С их курлыканьем в тощие дали,
Потому что в просторах полей
Они сытных хлебов не видали.Только видели березь да цветь,
Да ракитник, кривой и безлистый,
Да разбойные слышали свисты,
От которых легко умереть.Как бы я и хотел не любить,
Все равно не могу научиться,
И под этим дешевеньким ситцем
Ты мила мне, родимая выть.Потому так и днями недавними
Уж не юные веют года…
Низкий дом с голубыми ставнями,
Не забыть мне тебя никогда.1924 г.",4
250,1,4,0,"На заре ты ее не буди,
На заре она сладко так спит;
Утро дышит у ней на груди,
Ярко пышет на ямках ланит.И подушка ее горяча,
И горяч утомительный сон,
И, чернеясь, бегут на плеча
Косы лентой с обеих сторон.А вчера у окна ввечеру
Долго-долго сидела она
И следила по тучам игру,
Что, скользя, затевала луна.И чем ярче играла луна,
И чем громче свистал соловей,
Все бледней становилась она,
Сердце билось больней и больней.Оттого-то на юной груди,
На ланитах так утро горит.
Не буди ж ты ее, не буди…
На заре она сладко так спит!1842 г.",4
251,12,1,0,"Дорогая, я вышел сегодня из дому поздно вечером
подышать свежим воздухом, веющим с океана.
Закат догорал в партере китайским веером,
и туча клубилась, как крышка концертного фортепьяно.Четверть века назад ты питала пристрастье к люля и к финикам,
рисовала тушью в блокноте, немножко пела,
развлекалась со мной; но потом сошлась с инженером-химиком
и, судя по письмам, чудовищно поглупела.Теперь тебя видят в церквях в провинции и в метрополии
на панихидах по общим друзьям, идущих теперь сплошною
чередой; и я рад, что на свете есть расстоянья более
немыслимые, чем между тобой и мною.Не пойми меня дурно. С твоим голосом, телом, именем
ничего уже больше не связано; никто их не уничтожил,
но забыть одну жизнь — человеку нужна, как минимум,
еще одна жизнь. И я эту долю прожил.Повезло и тебе: где еще, кроме разве что фотографии,
ты пребудешь всегда без морщин, молода, весела, глумлива?
Ибо время, столкнувшись с памятью, узнает о своем бесправии.
Я курю в темноте и вдыхаю гнилье отлива.1989 г.",1
252,11,4,0,"Двадцать первое. Ночь. Понедельник.
Очертанья столицы во мгле.
Сочинил же какой-то бездельник,
Что бывает любовь на земле.И от лености или со скуки
Все поверили, так и живут:
Ждут свиданий, боятся разлуки
И любовные песни поют.Но иным открывается тайна,
И почиет на них тишина…
Я на это наткнулась случайно
И с тех пор всё как будто больна.1917 г.",4
253,10,1,0,"Я знаю женщину: молчанье,
Усталость горькая от слов,
Живет в таинственном мерцанье
Ее расширенных зрачков.Ее душа открыта жадно
Лишь медной музыке стиха,
Пред жизнью, дольней и отрадной
Высокомерна и глуха.Неслышный и неторопливый,
Так странно плавен шаг ее,
Назвать нельзя ее красивой,
Но в ней все счастие мое.Когда я жажду своеволий
И смел и горд — я к ней иду
Учиться мудрой сладкой боли
В ее истоме и бреду.Она светла в часы томлений
И держит молнии в руке,
И четки сны ее, как тени
На райском огненном песке.1912 г.",1
254,12,0,0,"Грубым дается радость,
Нежным дается печаль.
Мне ничего не надо,
Мне никого не жаль.Жаль мне себя немного,
Жалко бездомных собак.
Эта прямая дорога
Меня привела в кабак.Что ж вы ругаетесь, дьяволы?
Иль я не сын страны?
Каждый из нас закладывал
За рюмку свои штаны.Мутно гляжу на окна,
В сердце тоска и зной.
Катится, в солнце измокнув,
Улица передо мной.А на улице мальчик сопливый.
Воздух поджарен и сух.
Мальчик такой счастливый
И ковыряет в носу.Ковыряй, ковыряй, мой милый,
Суй туда палец весь,
Только вот с эфтой силой
В душу свою не лезь.Я уж готов… Я робкий…
Глянь на бутылок рать!
Я собираю пробки —
Душу мою затыкать.1923 г.",0
255,9,1,0,"Восстал всевышний бог, да судит
Земных богов во сонме их;
Доколе, рек, доколь вам будет
Щадить неправедных и злых? Ваш долг есть: сохранять законы,
На лица сильных не взирать,
Без помощи, без обороны
Сирот и вдов не оставлять.Ваш долг: спасать от бед невинных,
Несчастливым подать покров;
От сильных защищать бессильных,
Исторгнуть бедных из оков.Не внемлют! видят — и не знают!
Покрыты мздою очеса:
Злодействы землю потрясают,
Неправда зыблет небеса.Цари! Я мнил, вы боги властны,
Никто над вами не судья,
Но вы, как я подобно, страстны,
И так же смертны, как и я.И вы подобно так падете,
Как с древ увядший лист падет!
И вы подобно так умрете,
Как ваш последний раб умрет! Воскресни, боже! боже правых!
И их молению внемли:
Приди, суди, карай лукавых,
И будь един царем земли!1780 г.",1
256,4,1,1,"Ты у меня одна,
Словно в ночи луна,
Словно в году весна,
Словно в степи сосна.
Нету другой такой
Ни за какой рекой,
Ни за туманами,
Дальними странами.В инее провода,
В сумерках города.
Вот и взошла звезда,
Чтобы светить всегда,
Чтобы гореть в метель,
Чтобы стелить постель,
Чтобы качать всю ночь
У колыбели дочь.Вот поворот какой
Делается с рекой.
Можешь отнять покой,
Можешь махнуть рукой,
Можешь отдать долги,
Можешь любить других,
Можешь совсем уйти,
Только свети, свети!1964 г.",3
257,13,4,0,"Мы с тобой бестолковые люди:
Что минута, то вспышка готова!
Облегченье взволнованной груди,
Неразумное, резкое слово.Говори же, когда ты сердита,
Всё, что душу волнует и мучит!
Будем, друг мой, сердиться открыто:
Легче мир — и скорее наскучит.Если проза в любви неизбежна,
Так возьмем и с нее долю счастья:
После ссоры так полно, так нежно
Возвращенье любви и участья…1851 г.",4
258,6,0,0,"Что ни делает дурак,
Все он делает не так.Начинает не сначала,
А кончает как попало.С потолка он строит дом,
Носит воду решетом,Солнце в поле ловит шапкой,
Тень со стен стирает тряпкой,Дверь берет с собою в лес,
Чтобы вор к нему не влез,И на крышу за веревку
Тянет бурую коровку,Чтоб немножко попаслась
Там, где травка разрослась.—Что ни делает дурак,
Все он делает не так.И не вовремя он рад,
И печален невпопад.На пути встречает свадьбу
Тут бы спеть и поплясать бы,Он же слезы льет рекой
И поет заупокой.Как схватили дурака,
Стали мять ему бока,Били, били, колотили,
Чуть живого отпустили.«Ишь ты, — думает дурак,
Видно, я попал впросак.Из сочувствия к невесте
Я поплакал с нею вместе.Ладно, в следующий раз
Я пущусь на свадьбе в пляс!»—Вот бредет он по дороге,
А навстречу едут дроги.Следом движется народ,
Словно очередь идет.Поглядел дурак на пеших.
«Ну-ка, — думает, — утешь их,Чтоб шагали веселей
За телегою своей!»Сапожком дурак притопнул,
О ладонь ладонью хлопнулДа как пустится плясать,
Ногу об ногу чесать!Взяли люди дурака,
Стали мять ему бока,Били, били, колотили,
Полумертвым отпустили.«Вишь ты, — думает дурак,
Я опять попал впросак.Больше я плясать не стану
Да и плакать перестану.Ладно, с завтрашнего дня
Не узнаете меня!»—И ведь верно, с той минуты
Стал ходить дурак надутый.То и дело он, дурак,
Говорит другим: — Не так!Он не плачет и не пляшет,
А на все рукою машет.Постороннему никак
Не узнать, что он дурак.Дети буквы пишут в школе
Да и спросят: — Хорошо ли?Поглядит в тетрадь дурак
Да и вымолвит: — Не так.Шьют портнихи на машинке,
Шьют сапожники ботинки.Смотрит издали дурак
И бормочет: — Всё не так!И не так селедок ловят,
И не так борщи готовят,И не так мосты мостят,
И не так детей растят!Видят люди, слышат люди,
Как дурак дела их судит,И подумывают так:
«Что за умница дурак!»",0
259,12,1,0,"Вчера ещё в глаза глядел,
А нынче — всё косится в сторону!
Вчера еще до птиц сидел, —
Всё жаворонки нынче — вороны!Я глупая, а ты умен,
Живой, а я остолбенелая.
О, вопль женщин всех времен:
«Мой милый, что тебе я сделала?!»И слезы ей — вода, и кровь —
Вода, — в крови, в слезах умылася!
Не мать, а мачеха — Любовь:
Не ждите ни суда, ни милости.Увозят милых корабли,
Уводит их дорога белая…
И стон стоит вдоль всей земли:
«Мой милый, что тебе я сделала?»Вчера еще — в ногах лежал!
Равнял с Китайскою державою!
Враз обе рученьки разжал, —
Жизнь выпала — копейкой ржавою!Детоубийцей на суду
Стою — немилая, несмелая.
Я и в аду тебе скажу:
«Мой милый, что тебе я сделала?»Спрошу я стул, спрошу кровать:
«За что, за что терплю и бедствую?»
«Отцеловал — колесовать:
Другую целовать», — ответствуют.Жить приучил в самом огне,
Сам бросил — в степь заледенелую!
Вот что ты, милый, сделал мне!
Мой милый, что тебе — я сделала?Всё ведаю — не прекословь!
Вновь зрячая — уж не любовница!
Где отступается Любовь,
Там подступает Смерть-садовница.Самo — что дерево трясти! —
В срок яблоко спадает спелое…
— За всё, за всё меня прости,
Мой милый, — что тебе я сделала!1920 г.",1
260,3,1,0,"Дело было в январе,
Стояла елка на горе,
А возле этой елки
Бродили злые волки.Вот как-то раз,
Ночной порой,
Когда в лесу так тихо,
Встречают волка под горой
Зайчата и зайчиха.Кому охота в Новый год
Попасться в лапы волку!
Зайчата бросились вперед
И прыгнули на елку.Они прижали ушки,
Повисли, как игрушки.Десять маленьких зайчат
Висят на елке и молчат.
Обманули волка.
Дело было в январе, —
Подумал он, что на горе
Украшенная елка.1940 г.",1
261,10,4,1,"Я разный —
я натруженный и праздный.
Я целе-
и нецелесообразный.
Я весь несовместимый,
неудобный,
застенчивый и наглый,
злой и добрый.
Я так люблю,
чтоб все перемежалось!
И столько всякого во мне перемешалось
от запада
и до востока,
от зависти
и до восторга!
Я знаю — вы мне скажете:
«Где цельность?»
О, в этом всем огромная есть ценность!
Я вам необходим.
Я доверху завален,
как сеном молодым
машина грузовая.
Лечу сквозь голоса,
сквозь ветки, свет и щебет,
и —
бабочки
в глаза,
и —
сено
прет
сквозь щели!
Да здравствуют движение и жаркость,
и жадность,
торжествующая жадность!
Границы мне мешают…
Мне неловко
не знать Буэнос-Айреса,
Нью-Йорка.
Хочу шататься, сколько надо, Лондоном,
со всеми говорить —
пускай на ломаном.
Мальчишкой,
на автобусе повисшим,
Хочу проехать утренним Парижем!
Хочу искусства разного,
как я!
Пусть мне искусство не дает житья
и обступает пусть со всех сторон…
Да я и так искусством осажден.
Я в самом разном сам собой увиден.
Мне близки
и Есенин,
и Уитмен,
и Мусоргским охваченная сцена,
и девственные линии Гогена.
Мне нравится
и на коньках кататься,
и, черкая пером,
не спать ночей.
Мне нравится
в лицо врагу смеяться
и женщину нести через ручей.
Вгрызаюсь в книги
и дрова таскаю,
грущу,
чего-то смутного ищу,
и алыми морозными кусками
арбуза августовского хрущу.
Пою и пью,
не думая о смерти,
раскинув руки,
падаю в траву,
и если я умру
на белом свете,
то я умру от счастья,
что живу.1955 г.",6
262,10,1,0,"Не с теми я, кто бросил землю
На растерзание врагам.
Их грубой лести я не внемлю,
Им песен я своих не дам.Но вечно жалок мне изгнанник,
Как заключенный, как больной.
Темна твоя дорога, странник,
Полынью пахнет хлеб чужой.А здесь, в глухом чаду пожара
Остаток юности губя,
Мы ни единого удара
Не отклонили от себя.И знаем, что в оценке поздней
Оправдан будет каждый час…
Но в мире нет людей бесслезней,
Надменнее и проще нас.1922 г.",1
263,10,3,0,"Я помню, любимая, помню
Сиянье твоих волос…
Не радостно и не легко мне
Покинуть тебя привелось.Я помню осенние ночи,
Березовый шорох теней…
Пусть дни тогда были короче,
Луна нам светила длинней.Я помню, ты мне говорила:
«Пройдут голубые года,
И ты позабудешь, мой милый,
С другою меня навсегда».Сегодня цветущая липа
Напомнила чувствам опять,
Как нежно тогда я сыпал
Цветы на кудрявую прядь.И сердце, остыть не готовясь
И грустно другую любя,
Как будто любимую повесть
С другой вспоминает тебя.1925 г.",5
264,0,1,0,"Беги, сокройся от очей,
Цитеры слабая царица!
Где ты, где ты, гроза царей,
Свободы гордая певица?
Приди, сорви с меня венок,
Разбей изнеженную лиру…
Хочу воспеть Свободу миру,
На тронах поразить порок.Открой мне благородный след
Того возвышенного Галла
Кому сама средь славных бед
Ты гимны смелые внушала.
Питомцы ветреной Судьбы,
Тираны мира! трепещите!
А вы, мужайтесь и внемлите,
Восстаньте, падшие рабы!Увы! куда ни брошу взор —
Везде бичи, везде железы,
Законов гибельный позор,
Неволи немощные слезы;
Везде неправедная Власть
В сгущенной мгле предрассуждений
Воссела — Рабства грозный Гений
И Славы роковая страсть.Лишь там над царскою главой
Народов не легло страданье,
Где крепко с Вольностью святой
Законов мощных сочетанье;
Где всем простерт их твердый щит,
Где сжатый верными руками
Граждан над равными главами
Их меч без выбора скользитИ преступленье свысока
Сражает праведным размахом;
